ID,Movie name,Movie languages,Movie countries,Movie genres,Movie release year,averageRating,numVotes,winner,nominated,Movie release era
12061267,Grizzly II: The Predator,English Language,United States of America,"['Thriller', 'Horror']",1987.0,2.8,1349,1,1,197.0
1135297,13 Ghosts,English Language,United States of America,['Horror'],1960.0,6.0,6403,0,0,194.0
31094908,The Living Christ Series,English Language,United States of America,"['Biographical film', 'Drama']",1951.0,6.6,71,0,0,197.0
30548208,The Iron Lady,English Language,France,"['Biography', 'Drama']",2011.0,6.4,109987,2,2,197.0
16791637,Love at Stake,English Language,United States of America,"['Parody', 'Satire', 'Comedy']",1988.0,5.0,587,0,0,
1641416,A Wild Hare,English Language,United States of America,"['Short Film', 'Comedy']",1940.0,7.8,1696,0,0,199.0
7939249,Night Owls,English Language,United States of America,"['Short Film', 'Comedy', 'Black-and-white']",1930.0,6.6,5,0,0,200.0
24300269,Track 29,English Language,United States of America,['Drama'],1988.0,5.8,2309,0,1,195.0
6613755,Bloodfist II,English Language,United States of America,"['Sports', 'Action/Adventure', 'Action', 'Martial Arts Film', 'Indie']",1990.0,4.8,715,0,0,200.0
14710585,Tanya's Island,English Language,United States of America,"['Fantasy Adventure', 'Adventure', 'Softcore Porn', 'Action/Adventure', 'Fantasy', 'Drama', 'Romantic drama', 'Romance Film', 'Sexploitation']",1980.0,4.1,402,0,0,192.0
34694618,Du rififi chez les femmes,French Language,France,"['Crime Fiction', 'Drama']",1959.0,6.3,60,0,0,200.0
9899642,Live It Up!,English Language,United Kingdom,"['Backstage Musical', 'Musical', 'Comedy']",1963.0,5.6,166,0,0,195.0
22592501,The Eclipse,English Language,Ireland,"['Thriller', 'Drama', 'Romance Film', 'Horror', 'Supernatural']",2009.0,8.4,291,0,0,196.0
1904367,Das schreckliche Mädchen,German Language,West Germany,"['Political cinema', 'Drama', 'Comedy', 'World cinema', 'Political drama']",1990.0,7.3,2628,0,0,192.0
1533733,The Mortal Storm,English Language,United States of America,"['Drama', 'Political drama', 'Black-and-white', 'War film']",1940.0,7.7,5471,0,2,196.0
27290119,Mollenard,French Language,France,"['Family Drama', 'Drama', 'Marriage Drama']",1938.0,7.4,297,0,0,200.0
25897109,Superfantagenio,English Language,United States of America,"['Adventure', ""Children's/Family"", 'Fantasy', 'Comedy', 'Family Film', 'Fantasy Comedy', 'Teen']",1987.0,5.3,3313,0,0,195.0
14734420,Pies and Guys,English Language,United States of America,"['Short Film', 'Comedy', 'Black-and-white']",1958.0,5.9,231,0,0,200.0
8763366,Jekyll and Hyde... Together Again,English Language,United States of America,"['Parody', 'Comedy']",1982.0,6.0,1277,0,0,196.0
10142493,Where's That Fire?,English Language,United Kingdom,"['Crime Fiction', 'Comedy', 'Black-and-white']",1940.0,7.1,397,0,0,197.0
19036329,The Happy Road,English Language,France,['Comedy'],1957.0,5.9,448,0,1,199.0
9889964,Baaghi: A Rebel for Love,Hindi Language,India,"['Romance Film', 'Action']",1990.0,5.9,1684,0,0,200.0
4633426,"Napló apámnak, anyámnak",Hungarian language,Hungary,"['Drama', 'Political drama']",1956.0,6.6,197,0,0,
28024741,Hole in the Paper Sky,English Language,United States of America,['Short Film'],2008.0,6.9,171,0,0,200.0
15337014,The Whistle Blower,English Language,United Kingdom,"['Thriller', 'Crime Thriller', 'Action', 'Action/Adventure', 'Political thriller']",1987.0,6.2,2407,1,2,191.0
817057,Outland,English Language,United Kingdom,"['Thriller', 'Crime Fiction', 'Science Fiction', 'Adventure', 'Western', 'Space western', 'Hybrid Western']",1981.0,6.6,30354,0,0,200.0
